e22	31	B	1370919909931995308230.79522645
e22	31	boot	1370919909931995308230.79422154
e22	33	B	1370919909931995308231.08675011
e22	33	boot	1370919909931995308231.08255618
e22	32	B	1370919909931995308230.95767663
e22	32	boot	1370919909931995308230.96071133
e22	34	B	1370919909931995308231.20444530
e22	34	boot	1370919909931995308231.19605207
e22	36	B	1370919909931995308231.51051582
e22	36	boot	1370919909931995308231.51407563
e22	37	B	1370919909931995308231.65197610
e22	37	boot	1370919909931995308231.64927304
e22	35	B	1370919909931995308231.34001902
e22	35	boot	1370919909931995308231.33742958
e22	38	B	1370919909931995308231.76231846
e22	38	boot	1370919909931995308231.75711732
e22	39	B	1370919909931995308231.86713476
e22	39	boot	1370919909931995308231.86579052
